customer_id,frequency,monetary_total,avg_order_value,first_purchase,last_purchase,category_diversity,recency_days,tenure_days,r_score,f_score,m_score,avg_days_between_orders,rfm_total_score
3667,1,33.9,33.9,2022-12-19 00:00:00,2022-12-19 00:00:00,1,1288,0,1,1,1,,3
3854,1,37.95,37.95,2022-12-19 00:00:00,2022-12-19 00:00:00,1,1288,0,1,1,1,,3
3833,1,53.85,53.85,2023-01-21 00:00:00,2023-01-21 00:00:00,1,1255,0,1,1,1,,3
3882,1,31.33,31.33,2023-02-05 00:00:00,2023-02-05 00:00:00,1,1240,0,1,1,1,,3
3372,1,36.83,36.83,2023-02-07 00:00:00,2023-02-07 00:00:00,1,1238,0,1,1,1,,3
3990,1,61.02,61.02,2023-04-06 00:00:00,2023-04-06 00:00:00,1,1180,0,1,1,1,,3
3612,1,44.67,44.67,2023-04-30 00:00:00,2023-04-30 00:00:00,1,1156,0,1,1,1,,3
3797,1,64.28,64.28,2023-05-01 00:00:00,2023-05-01 00:00:00,1,1155,0,1,1,1,,3
3722,1,57.28,57.28,2023-05-02 00:00:00,2023-05-02 00:00:00,1,1154,0,1,1,1,,3
3716,1,46.69,46.69,2023-05-03 00:00:00,2023-05-03 00:00:00,1,1153,0,1,1,1,,3
3676,1,14.82,14.82,2023-05-08 00:00:00,2023-05-08 00:00:00,1,1148,0,1,1,1,,3
2950,1,36.33,36.33,2023-05-12 00:00:00,2023-05-12 00:00:00,1,1144,0,1,1,1,,3
3621,1,33.29,33.29,2023-05-28 00:00:00,2023-05-28 00:00:00,1,1128,0,1,1,1,,3
3754,1,37.79,37.79,2023-06-13 00:00:00,2023-06-13 00:00:00,1,1112,0,1,1,1,,3
3880,1,47.83,47.83,2023-06-16 00:00:00,2023-06-16 00:00:00,1,1109,0,1,1,1,,3
3739,1,27.39,27.39,2023-07-09 00:00:00,2023-07-09 00:00:00,1,1086,0,1,1,1,,3
3049,2,69.92,34.96,2023-07-01 00:00:00,2023-07-18 00:00:00,2,1077,17,1,1,1,17.0,3
3981,1,22.6,22.6,2023-07-25 00:00:00,2023-07-25 00:00:00,1,1070,0,1,1,1,,3
3059,1,26.87,26.87,2023-08-08 00:00:00,2023-08-08 00:00:00,1,1056,0,1,1,1,,3
3878,1,52.74,52.74,2023-08-10 00:00:00,2023-08-10 00:00:00,1,1054,0,1,1,1,,3
3614,1,71.99,71.99,2023-08-16 00:00:00,2023-08-16 00:00:00,1,1048,0,1,1,1,,3
3870,1,37.24,37.24,2023-08-17 00:00:00,2023-08-17 00:00:00,1,1047,0,1,1,1,,3
3777,2,46.43,23.21,2023-06-15 00:00:00,2023-08-27 00:00:00,2,1037,73,1,1,1,73.0,3
3728,1,17.04,17.04,2023-08-31 00:00:00,2023-08-31 00:00:00,1,1033,0,1,1,1,,3
3296,1,46.56,46.56,2023-09-15 00:00:00,2023-09-15 00:00:00,1,1018,0,1,1,1,,3
3976,2,84.42,42.21,2023-08-16 00:00:00,2023-09-19 00:00:00,2,1014,34,1,1,2,34.0,4
3619,1,45.75,45.75,2023-09-25 00:00:00,2023-09-25 00:00:00,1,1008,0,1,1,1,,3
3904,1,53.05,53.05,2023-09-26 00:00:00,2023-09-26 00:00:00,1,1007,0,1,1,1,,3
3842,1,39.86,39.86,2023-10-02 00:00:00,2023-10-02 00:00:00,1,1001,0,1,1,1,,3
3732,1,32.34,32.34,2023-10-04 00:00:00,2023-10-04 00:00:00,1,999,0,1,1,1,,3
3969,1,35.5,35.5,2023-10-07 00:00:00,2023-10-07 00:00:00,1,996,0,1,1,1,,3
3943,1,44.97,44.97,2023-10-08 00:00:00,2023-10-08 00:00:00,1,995,0,1,1,1,,3
3930,1,14.24,14.24,2023-10-15 00:00:00,2023-10-15 00:00:00,1,988,0,1,1,1,,3
3788,1,66.54,66.54,2023-10-23 00:00:00,2023-10-23 00:00:00,1,980,0,1,1,1,,3
3000,1,51.49,51.49,2023-11-11 00:00:00,2023-11-11 00:00:00,1,961,0,1,1,1,,3
3987,1,45.76,45.76,2023-11-18 00:00:00,2023-11-18 00:00:00,1,954,0,1,1,1,,3
3204,1,44.62,44.62,2023-11-19 00:00:00,2023-11-19 00:00:00,1,953,0,1,1,1,,3
3703,2,75.87,37.94,2023-09-28 00:00:00,2023-11-22 00:00:00,2,950,55,1,1,1,55.0,3
3724,1,57.87,57.87,2023-11-27 00:00:00,2023-11-27 00:00:00,1,945,0,1,1,1,,3
3605,1,26.52,26.52,2023-11-28 00:00:00,2023-11-28 00:00:00,1,944,0,1,1,1,,3
3848,1,31.06,31.06,2023-11-29 00:00:00,2023-11-29 00:00:00,1,943,0,1,1,1,,3
3570,3,103.45,34.48,2023-03-16 00:00:00,2023-11-29 00:00:00,3,943,258,1,2,2,129.0,5
3646,1,42.19,42.19,2023-11-30 00:00:00,2023-11-30 00:00:00,1,942,0,1,1,1,,3
3507,1,43.76,43.76,2023-12-06 00:00:00,2023-12-06 00:00:00,1,936,0,1,1,1,,3
3629,3,112.9,37.63,2023-10-01 00:00:00,2023-12-08 00:00:00,3,934,68,1,2,2,34.0,5
3819,1,40.89,40.89,2023-12-10 00:00:00,2023-12-10 00:00:00,1,932,0,1,1,1,,3
3887,1,35.64,35.64,2023-12-13 00:00:00,2023-12-13 00:00:00,1,929,0,1,1,1,,3
2802,3,170.25,56.75,2023-03-18 00:00:00,2023-12-13 00:00:00,2,929,270,1,2,2,135.0,5
3865,4,120.07,30.02,2023-04-04 00:00:00,2023-12-14 00:00:00,2,928,254,1,2,2,84.7,5
2817,1,45.61,45.61,2023-12-17 00:00:00,2023-12-17 00:00:00,1,925,0,1,1,1,,3
3743,1,28.52,28.52,2023-12-19 00:00:00,2023-12-19 00:00:00,1,923,0,1,1,1,,3
3923,1,36.9,36.9,2023-12-22 00:00:00,2023-12-22 00:00:00,1,920,0,1,1,1,,3
3831,1,58.07,58.07,2023-12-22 00:00:00,2023-12-22 00:00:00,1,920,0,1,1,1,,3
3835,2,24.61,12.3,2023-10-09 00:00:00,2023-12-26 00:00:00,2,916,78,1,1,1,78.0,3
3774,1,33.11,33.11,2024-01-04 00:00:00,2024-01-04 00:00:00,1,907,0,1,1,1,,3
3853,2,69.62,34.81,2023-12-20 00:00:00,2024-01-04 00:00:00,2,907,15,1,1,1,15.0,3
3604,1,23.1,23.1,2024-01-19 00:00:00,2024-01-19 00:00:00,1,892,0,1,1,1,,3
3092,2,74.23,37.11,2023-08-28 00:00:00,2024-01-20 00:00:00,2,891,145,1,1,1,145.0,3
3189,3,163.81,54.6,2023-07-01 00:00:00,2024-01-25 00:00:00,3,886,208,1,2,2,104.0,5
3688,1,42.5,42.5,2024-01-30 00:00:00,2024-01-30 00:00:00,1,881,0,1,1,1,,3
2940,1,50.81,50.81,2024-02-01 00:00:00,2024-02-01 00:00:00,1,879,0,1,1,1,,3
3230,4,214.65,53.66,2023-07-16 00:00:00,2024-02-06 00:00:00,3,874,205,1,2,3,68.3,6
3755,1,48.68,48.68,2024-02-09 00:00:00,2024-02-09 00:00:00,1,871,0,1,1,1,,3
2946,2,79.7,39.85,2023-06-27 00:00:00,2024-02-09 00:00:00,2,871,227,1,1,1,227.0,3
3664,1,47.87,47.87,2024-02-11 00:00:00,2024-02-11 00:00:00,1,869,0,1,1,1,,3
3668,3,72.61,24.2,2023-04-01 00:00:00,2024-02-12 00:00:00,2,868,317,1,2,1,158.5,4
3183,2,78.91,39.45,2024-02-18 00:00:00,2024-02-27 00:00:00,2,853,9,1,1,1,9.0,3
3628,1,58.88,58.88,2024-03-01 00:00:00,2024-03-01 00:00:00,1,850,0,1,1,1,,3
3606,1,47.79,47.79,2024-03-02 00:00:00,2024-03-02 00:00:00,1,849,0,1,1,1,,3
3647,3,113.31,37.77,2022-12-11 00:00:00,2024-03-02 00:00:00,2,849,447,1,2,2,223.5,5
3935,1,6.57,6.57,2024-03-06 00:00:00,2024-03-06 00:00:00,1,845,0,1,1,1,,3
3795,1,22.17,22.17,2024-03-06 00:00:00,2024-03-06 00:00:00,1,845,0,1,1,1,,3
2959,1,64.72,64.72,2024-03-06 00:00:00,2024-03-06 00:00:00,1,845,0,1,1,1,,3
2914,3,129.73,43.24,2023-12-11 00:00:00,2024-03-09 00:00:00,3,842,89,1,2,2,44.5,5
3867,2,52.23,26.12,2023-01-18 00:00:00,2024-03-16 00:00:00,2,835,423,1,1,1,423.0,3
3748,2,61.53,30.77,2024-01-04 00:00:00,2024-03-24 00:00:00,2,827,80,1,1,1,80.0,3
3071,3,172.74,57.58,2023-08-20 00:00:00,2024-03-29 00:00:00,3,822,222,1,2,2,111.0,5
2865,1,49.66,49.66,2024-04-03 00:00:00,2024-04-03 00:00:00,1,817,0,1,1,1,,3
3639,1,28.94,28.94,2024-04-06 00:00:00,2024-04-06 00:00:00,1,814,0,1,1,1,,3
3888,2,111.29,55.64,2024-01-05 00:00:00,2024-04-06 00:00:00,2,814,92,1,2,2,92.0,5
3735,1,57.26,57.26,2024-04-08 00:00:00,2024-04-08 00:00:00,1,812,0,1,1,1,,3
3798,1,53.02,53.02,2024-04-09 00:00:00,2024-04-09 00:00:00,1,811,0,1,1,1,,3
3940,1,65.77,65.77,2024-04-10 00:00:00,2024-04-10 00:00:00,1,810,0,1,1,1,,3
3697,1,33.43,33.43,2024-04-11 00:00:00,2024-04-11 00:00:00,1,809,0,1,1,1,,3
